,X,Rk,Player,Nation,Pos,Squad,Rank,Age,Born,MP,Starts,Min,X90s,Goals,Shots,SoT,SoT.,G.Sh,G.SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp.,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp.,PasMedCmp,PasMedAtt,PasMedCmp.,PasLonCmp,PasLonAtt,PasLonCmp.,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri.,TklDriPast,Press,PresSucc,Press.,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl.Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc.,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec.,RecProg,CrdY,CrdR,X2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon.
148,672,672,Merih Demiral,TUR,CB,Atalanta,A,24,1998,28,22,1917,21.3,0.05,1.17,0.28,24,0.04,0.17,9,0,0,0,33,37.8,87.3,720.7,164.4,8.22,9.3,88.4,18.4,20,91.6,5.96,7.51,79.4,0.09,0.05,1.08,0.05,0,0.99,37.8,35.4,2.39,2.3,0,3.99,0.85,0.05,0,0,0,0,28.4,3.71,5.73,4.79,28.5,2.16,0.09,0.05,33,0,0.56,0.47,0.38,0.38,0.14,0.05,0,0.19,0,0,0.14,0,0,0,0.14,0,0,1.88,1.17,1.08,0.7,0.09,0.52,0.94,55,0.42,16.2,6.48,39.9,8.12,7.42,0.7,1.92,0.7,0.05,1.22,2.58,4.46,4.04,0.05,49.5,6.9,27,22,2.86,1.64,47.2,0.09,0.19,50,0.09,0,24.4,154.7,50.8,0.8,0.09,0.05,0.19,0.23,26.8,25.8,96.3,0.42,0.38,0,0,1.31,0.75,0.14,0.05,1.17,0,0.05,0,9.2,4.6,1.78,72.1
149,676,676,Jason Denayer,BEL,CB,Lyon,B,26,1995,15,12,1002,11.1,0.27,0.54,0.36,66.7,0.5,0.75,6.8,0,0,0,62.9,66.6,94.5,1354.6,371.2,18.1,18.8,96.2,33.1,34.2,96.6,11.3,13,86.8,0,0.09,1.71,0,0,1.8,66.6,64.3,2.25,1.98,0,5.14,1.98,0.09,0,0,0,0,57.6,3.69,5.32,2.88,60.2,1.98,0.27,0.18,62.9,0.09,0.27,0.63,0.09,0.27,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.54,0.72,0.27,0,0.54,0.72,75,0.18,7.03,2.25,32.1,3.6,3.33,0.09,1.89,0.9,0.09,0.99,1.62,2.61,4.05,0.09,75.9,11,43.4,35.6,1.08,0.72,73.7,0.09,0.27,33.3,0.18,0,52,218.9,100.5,1.35,0,0,0.09,0.18,58.3,57,97.8,0,0.18,0,0,0.72,0.45,0,0.09,0.54,0,0.09,0,6.67,1.62,1.89,46.2
151,698,698,Mouctar Diakhaby,FRA,CB,Valencia,B,25,1996,29,21,1948,21.6,0,0.37,0.05,12.5,0,0,10.1,0,0,0,25.1,32.4,77.4,616.5,206.2,5.56,6.76,82.2,12.4,14.2,87.6,6.9,11,62.9,0.05,0.14,2.22,0.09,0.05,2.31,32.4,30.7,1.71,1.39,0.05,4.12,1.57,0.14,0,0,0,0,20.4,2.78,9.21,3.15,25.7,2.31,0.09,0.05,25.1,0,1.2,0.56,0.56,0.42,0.28,0,0.05,0,0.05,0.05,0.05,0.05,0,0,0,0,0,2.13,1.48,1.2,0.79,0.14,0.83,1.2,69.2,0.37,11.3,3.94,35,5.56,5,0.69,2.31,0.93,0,1.39,2.59,4.72,4.91,0,44.9,8.1,24,20.5,2.64,0.88,43.2,0.56,0.79,70.6,0.6,0.05,23.1,140.5,71.4,1.94,0.19,0.05,0.19,0.28,21.4,20.6,96.5,0.19,0.51,0,0,1.39,0.74,0.05,0.14,1.48,0,0.05,0.09,9.72,2.04,1.44,58.7
152,706,706,Ruben Dias,POR,CB,Manchester City,A,25,1997,29,27,2402,26.7,0.07,0.67,0.15,22.2,0.11,0.5,10.6,0,0,0,78.5,83.3,94.3,1686.6,429.5,21.2,22.2,95.3,44.5,45.8,97.1,12.6,14.6,86.4,0.15,0.45,6.82,0.15,0,3.97,83.3,81.5,1.84,1.35,0.11,6.03,1.72,0.19,0,0,0,0,72.1,3.82,7.42,12.8,66.3,2.4,0.45,0.15,78.5,0.07,0.49,0.67,0.41,1.12,0.97,0,0,0.11,0,0.04,0.22,0.15,0,0,0.07,0,0,1.27,1.01,0.45,0.67,0.15,0.26,0.6,43.8,0.34,5.73,2.55,44.4,2.13,2.92,0.67,1.05,0.49,0,0.56,1.42,2.7,2.92,0.04,90.9,6.67,32.8,61.2,4.16,1.2,89.1,0.07,0.19,40,0.07,0.04,67.1,398.4,248.3,8.95,0.82,0,0.19,0.07,74.2,73.1,98.5,0.3,0.19,0,0,1.12,0.37,0.07,0.19,1.01,0,0,0,8.13,1.99,1.35,59.6
154,715,715,Eric Dier,ENG,CB,Tottenham,A,28,1994,35,35,3071,34.1,0,0.38,0.12,30.8,0,0,13.5,0.12,0,0,57.7,65.3,88.5,1297.7,425.5,14.4,15.4,93.7,32.6,34.5,94.5,10.6,14.8,71.5,0,0.23,2.79,0.26,0.03,2.73,65.3,63.8,1.52,1.23,0.12,4.78,1.73,0.09,0,0,0,0,51.6,3.52,10.1,8.86,52.1,2.67,0.15,0.18,57.7,0.21,0.79,1.06,0.47,0.82,0.65,0,0,0.12,0,0.06,0.12,0.06,0,0,0.06,0,0,0.73,0.38,0.32,0.32,0.09,0.12,0.38,30.8,0.26,5.31,2.05,38.7,2.73,2.32,0.26,1.64,1.11,0.03,0.53,1.38,2.11,4.93,0,74.3,13.8,43.5,33.7,1.73,0.59,72.7,0,0.06,0,0.03,0,48.9,272.9,153.2,3.14,0.38,0.03,0.09,0.06,56.5,55.8,98.7,0.15,0.03,0,0,0.53,0.38,0,0.09,0.38,0,0,0.03,7.04,2.61,1.5,63.6
156,719,719,Virgil van Dijk,NED,CB,Liverpool,A,30,1991,34,34,3060,34,0.09,1.03,0.38,37.1,0.09,0.23,11.8,0.03,0,0,67.3,74.1,90.8,1508.8,487.1,17.7,19.1,92.6,36.3,37.9,95.7,13,16.6,78.4,0.03,0.18,4.97,0.12,0,3.06,74.1,72,2.09,1.88,0,6.38,2.62,0,0,0,0,0,58.1,5.44,10.5,10.9,56.1,4.06,0.21,0.32,67.3,0.06,0.68,0.71,0.29,0.71,0.53,0,0,0.18,0,0,0.18,0.12,0,0,0.06,0,0,0.62,0.35,0.38,0.21,0.03,0.32,0.44,73.3,0.12,3.65,1.29,35.5,2.12,1.32,0.21,0.91,0.47,0.03,0.44,1.38,2,3.97,0.03,82.4,9.62,38.7,44.4,2.59,1.56,80.3,0.09,0.12,75,0.09,0,53.3,203,106.7,2.91,0.18,0,0.21,0.15,60.7,59.6,98.3,0.24,0.09,0,0,0.29,0.35,0,0,0.35,0,0,0,12.1,3.97,1.18,77.1
157,723,723,Federico Dimarco,ITA,CB,Inter,B,24,1997,32,13,1430,15.9,0.13,2.39,1.07,44.7,0.05,0.12,19.5,0.19,0,0.06,62.6,76.2,82.2,1197.2,427.4,28.8,30.1,95.8,22.6,26,86.7,9.5,16.3,58.3,0.19,3.14,4.59,1.82,1.01,5.35,76.2,64.4,11.8,2.33,0.13,6.35,4.28,3.58,4.59,1.19,2.7,0.06,49.2,9.75,17.2,65.7,5.47,0.63,3.9,0.13,62.6,0.13,1.01,1.7,2.2,5.09,2.52,1.76,0.19,0.44,0.06,0.13,0.38,0.06,0.19,0,0.13,0,0,1.38,0.75,0.5,0.63,0.25,0.63,1.45,43.5,0.82,11.5,3.21,27.9,3.02,5.28,3.21,1.19,0.06,0,1.13,1.7,3.08,0.82,0,85.7,5.22,24.9,39.2,29.9,3.08,73.9,0.5,0.94,53.3,0.57,0.06,56.5,306.4,194.1,6.86,3.02,0.57,0.63,0.57,62.5,59.1,94.6,4.34,0.06,0,0,1.07,0.82,0.13,3.58,0.75,0,0,0,8.49,0.5,1.07,32
158,733,733,Axel Disasi,FRA,CB,Monaco,A,24,1998,32,30,2721,30.2,0.03,0.66,0.07,10,0.05,0.5,10,0,0,0,50.9,57.6,88.2,1148.5,354.4,11.7,12.6,93.2,28.9,30.9,93.8,9.93,13.5,73.3,0,0.26,4.01,0.2,0.03,3.64,57.6,56.4,1.26,1.16,0.03,4.83,1.29,0.07,0,0,0,0,45.7,4.11,7.85,4.07,49.2,2.75,0.1,0.13,50.9,0.17,0.96,1.13,0.36,0.4,0.33,0,0,0.07,0,0,0,0,0,0,0,0,0,1.42,0.89,0.7,0.66,0.07,0.56,1.13,50,0.56,8.18,3.44,42.1,3.94,3.97,0.26,1.72,1.09,0,0.63,1.95,3.38,3.61,0,66.6,7.72,31.2,38.2,1.99,1.03,65.4,0.4,0.43,92.3,0.4,0.03,44,275.1,165.8,4.11,0.46,0.03,0.17,0.23,47.1,45.9,97.4,0.13,0.17,0,0,1.52,0.46,0.1,0.07,0.89,0,0.03,0,9.4,2.75,1.36,66.9
159,736,736,Tiago Djalo,POR,CB,Lille,B,22,2000,28,26,2329,25.9,0.04,0.5,0.19,38.5,0.08,0.2,11.8,0,0,0,51.4,58.5,87.8,985.2,341.4,20.4,22.2,92,23.1,25.1,92,7.22,9.34,77.3,0.04,0.15,2.51,0.15,0.04,2.36,58.5,51.4,7.1,1.2,0.08,4.94,1.12,0.23,0,0,0,0,43.7,8.07,6.72,7.03,43.5,1.39,5.91,0.12,51.4,0.04,0.81,1.31,1.12,0.77,0.58,0.08,0.04,0,0,0.08,0.12,0.08,0,0.04,0,0,0,2.55,1.51,1.7,0.77,0.08,1,1.74,57.8,0.73,10,3.75,37.3,5.6,3.63,0.81,1.74,0.42,0.04,1.31,1.2,3.75,3.44,0,69,6.49,31.7,35.5,6.56,0.81,62.2,0.58,0.81,71.4,0.58,0,42.9,221.3,119.5,3.36,0.66,0.12,0.54,0.58,45.1,43.6,96.7,0.35,0.15,0,0,1.2,0.93,0.04,0.23,1.51,0,0,0.08,8.53,1.04,1.16,47.4
160,737,737,Djene,TOG,CB,Getafe,B,30,1991,35,35,3115,34.6,0,0.12,0.03,25,0,0,17.3,0,0,0,29.9,38.5,77.8,631.1,241.1,9.86,11.1,88.8,14,16.3,85.8,5.84,10,58.4,0.03,0.26,2.17,0.32,0.06,2.46,38.5,37.4,1.07,0.95,0,5.09,0.84,0.32,0,0,0,0,24.7,3.79,10,7.11,26.8,3.12,0.12,0.06,29.9,0.03,0.64,0.75,1.01,0.75,0.58,0,0.06,0.03,0.03,0.06,0.12,0.12,0,0,0,0,0,1.5,1.04,0.84,0.55,0.12,0.52,0.81,64.3,0.29,8.58,3.01,35,4.71,3.5,0.38,1.04,0.14,0,0.9,2.69,4.19,3.84,0.06,47.5,5.58,22.8,24.4,3.06,0.38,46.5,0.46,0.49,94.1,0.46,0,28.3,141.8,62.7,2.4,0.69,0,0.32,0.38,26,25.5,97.9,0.06,0.32,0.03,0,1.39,1.16,0.03,0.32,1.04,0,0.06,0,10.4,1.99,1.13,63.9
161,739,739,Koffi Djidji,CIV,CB,Torino,B,29,1992,25,21,1735,19.3,0,0.52,0.16,30,0,0,17.6,0,0,0,36.3,42.9,84.5,727.7,206.7,12.9,14.4,89.9,16.9,18.3,92.4,5.91,9.02,65.5,0,0.1,2.23,0.36,0.1,2.49,42.9,40.3,2.59,1.71,0,4.2,0.83,0.57,0,0,0,0,31.5,3.58,7.88,1.97,36.2,2.23,0.83,0.31,36.3,0.1,1.09,0.52,0.47,0.62,0.62,0,0,0,0,0,0.1,0.1,0,0,0,0,0,2.59,1.04,1.19,1.14,0.26,0.47,0.83,56.3,0.36,15.6,5.08,32.6,6.68,7.88,1.04,1.45,0.41,0,1.04,2.49,5.08,3.73,0,54.3,3.89,22.2,28.2,7.1,0.52,51.8,0.52,0.67,76.9,0.57,0,30.3,144.2,68.3,2.33,0.83,0.1,0.57,0.31,31.1,30.2,97,0.36,0.31,0.05,0.05,1.4,0.31,0.05,0.57,1.04,0,0.1,0,9.79,2.75,2.07,57
162,740,740,Alexander Djiku,GHA,CB,Strasbourg,B,27,1994,31,30,2694,29.9,0.03,0.5,0.23,46.7,0.07,0.14,10.5,0,0,0,45.8,54,84.8,1030.2,399.9,12.3,13.5,90.8,23.1,25.7,89.8,9.63,13.5,71.1,0,0.23,4.68,0.57,0.1,4.52,54,51.4,2.54,1.77,0.07,5.18,2.71,0.37,0,0,0,0,36.2,4.82,12.9,9.57,40.1,2.44,0.13,0.07,45.8,0.2,0.5,1.44,0.5,0.74,0.7,0,0,0,0,0.03,0.07,0.07,0,0,0,0,0,2.17,1.34,1.54,0.47,0.17,0.7,1.3,53.8,0.6,9.9,3.38,34.1,5.99,3.24,0.67,1.54,0.4,0,1.14,2.68,4.85,3.91,0.03,64.8,7.16,29.6,34.5,4.92,0.74,62.5,0.3,0.37,81.8,0.3,0,38.8,209.9,123.1,3.68,0.6,0,0.3,0.3,43,42.2,98.1,0.03,0.33,0.03,0.03,1.54,1,0.07,0.37,1.34,0,0.07,0,8.43,2.47,1,71.2
163,742,742,Berat Djimsiti,ALB,CB,Atalanta,A,29,1993,31,25,2256,25.1,0.04,0.72,0.12,16.7,0.06,0.33,12.1,0,0,0,48.3,56.9,85,893.3,307.9,20.7,23.1,89.5,20.6,22.7,90.7,6.33,9.4,67.4,0.04,0.44,3.47,0.6,0.28,3.19,56.9,53.5,3.39,1.67,0.04,6.37,1.2,0.4,0,0,0,0,41.4,6.22,9.28,13.7,37,2.47,1.71,0.2,48.3,0.12,0.96,1.43,0.92,0.84,0.64,0,0.04,0.12,0,0.04,0.04,0.04,0,0,0,0,0,1.83,1.24,0.88,0.76,0.2,0.88,1.67,52.4,0.8,10.6,3.86,36.6,4.18,5.34,1.04,1.55,0.52,0,1.04,2.11,3.94,3.31,0.04,66.9,5.38,27.4,34.9,8.8,1.08,63.7,0.28,0.4,70,0.28,0,39.8,203.6,101.7,3.31,0.88,0.04,0.32,0.2,43.9,42.6,97,0.76,0.24,0,0,1.08,0.64,0.04,0.4,1.24,0,0.04,0.04,10.5,3.15,0.96,76.7
164,760,760,Gabriel Magalhaes,BRA,CB,Arsenal,A,24,1997,35,35,3063,34,0.15,0.88,0.35,40,0.17,0.42,11,0,0,0,52.8,58.9,89.7,1089.9,295.1,15.7,16.6,94.7,29.5,31,95.1,7.03,10.3,68.3,0,0.24,3.26,0.03,0,2.44,58.9,57.1,1.74,1.06,0.03,5.24,1.12,0.12,0,0,0,0,48.6,4,6.29,51.4,4.24,1.91,0.12,0.29,52.8,0.18,0.85,0.74,0.38,0.65,0.59,0,0,0.03,0,0.03,0.03,0.03,0,0,0,0,0,1.68,1.09,1.15,0.41,0.12,0.68,1.03,65.7,0.35,6.53,2.53,38.7,3.85,2.26,0.41,1.44,0.82,0,0.62,1.15,2.82,3.44,0.09,67.6,10.9,35.1,34.5,3.15,1.24,66.1,0.09,0.09,100,0.09,0,47.4,289.6,162.3,4.24,0.71,0,0.24,0.09,51.3,50.1,97.7,0.24,0.24,0.03,0.03,0.71,1.26,0.03,0.12,1.09,0,0,0,7.35,2,1.12,64.2
166,778,778,Domingos Duarte,POR,CB,Granada,B,27,1995,21,19,1687,18.7,0.05,0.32,0.05,16.7,0.17,1,8.7,0,0,0,29.3,37.5,78.1,684.5,256.7,7.22,8.5,84.9,15.3,17.9,85.6,6.52,10.5,61.9,0,0.05,1.93,0,0,2.14,37.5,35.6,1.93,1.76,0,5.13,1.28,0,0,0,0,0,23.2,3.69,10.6,2.19,30.3,3.26,0.16,0.05,29.3,0.05,0.75,0.96,0.32,0.37,0.32,0,0,0.05,0,0,0,0,0,0,0,0,0,1.07,0.48,0.59,0.43,0.05,0.32,0.53,60,0.21,6.52,2.19,33.6,3.48,2.73,0.32,1.76,1.12,0.05,0.64,1.39,2.46,5.24,0.16,47.9,8.45,26.4,22.8,1.5,0.64,46.3,0.05,0.16,33.3,0.05,0,23.9,125.4,57.3,1.12,0.21,0,0.21,0.05,26.3,25.7,97.8,0.05,0.37,0.05,0,1.55,0.86,0,0,0.48,0,0.16,0,10.4,2.57,1.39,64.9
167,779,779,Oscar Duarte,CRC,CB,Levante,B,32,1989,23,20,1773,19.7,0.1,1.02,0.25,25,0.1,0.4,11.2,0,0,0,41.1,48.8,84.3,945.1,330.8,10.4,11.3,91.9,20.6,23.6,87.1,9.54,13,73.4,0,0.1,1.37,0,0,1.73,48.8,46.3,2.44,2.08,0,4.92,1.37,0,0,0,0,0,32.9,4.11,11.8,9.59,32.8,3.55,0,0.2,41.1,0.25,0.91,0.61,0.3,0.2,0.15,0,0,0.05,0,0,0,0,0,0,0,0,0,0.96,0.71,0.56,0.41,0,0.3,0.71,42.9,0.41,7.82,2.74,35.1,3.91,3.5,0.41,1.27,0.56,0,0.71,1.37,2.34,5.18,0,58.8,11.2,36.7,23.1,1.73,1.22,56.4,0.05,0.1,50,0.1,0,31.1,143.9,72.6,0.81,0,0,0,0.3,36.4,35.9,98.7,0.05,0.25,0,0,1.62,0.25,0.1,0,0.71,0,0,0,10.7,4.42,2.03,68.5
170,785,785,Shane Duffy,IRL,CB,Brighton,B,30,1992,18,15,1436,16,0.06,1.31,0.31,23.8,0.05,0.2,9.4,0,0,0,55.9,62.9,88.8,1292.4,355.1,10.7,11.5,92.9,33.8,36.1,93.6,11.3,14.8,75.9,0,0.19,3.44,0.13,0,2.19,62.9,61.7,1.25,0.75,0,5.13,1.63,0,0,0,0,0,49.4,4,9.5,4.44,52.4,3.56,0.44,0.19,55.9,0.06,1,0.81,0.38,0.5,0.38,0,0,0.13,0,0,0.13,0.06,0,0,0.06,0,0,1,0.56,0.75,0.06,0.19,0.31,0.81,38.5,0.5,5.31,1.19,22.4,3.13,1.94,0.25,2.19,1.19,0.06,1,1.13,2.13,5.69,0.06,74.5,12.1,45.1,29.3,3.81,1.63,73.3,0.13,0.13,100,0.13,0,44,179.9,93.9,1.75,0.38,0,0.19,0.06,53.7,52.5,97.8,0.13,0.44,0,0,1.25,0.44,0.06,0,0.56,0,0,0,9.5,5.06,1.44,77.9
172,790,790,Lewis Dunk,ENG,CB,Brighton,A,30,1991,29,29,2573,28.6,0.03,0.66,0.24,36.8,0.05,0.14,10,0,0,0,58.6,65.8,89.1,1375.2,378.2,12.9,14,92.7,32,33.7,95,13.1,17.1,76.3,0,0.07,2.97,0.07,0.03,1.89,65.8,63.7,2.03,1.85,0.03,4.9,1.68,0.21,0,0,0,0,52.1,4.51,9.16,4.23,57.3,2.06,0.14,0.56,58.6,0.07,1.01,1.22,0.42,0.52,0.38,0.03,0,0.1,0,0,0.07,0.03,0.03,0,0,0,0,0.7,0.38,0.31,0.35,0.03,0.21,0.45,46.2,0.24,4.37,1.68,38.4,2.59,1.43,0.35,1.47,0.94,0,0.52,1.61,2.31,4.16,0.1,74.2,11.5,43.5,31.9,3.01,1.12,72.3,0.17,0.21,83.3,0.21,0,48,248.6,117.2,1.43,0.35,0,0.24,0.14,55.1,54.1,98.3,0.03,0.1,0.03,0,0.28,0.21,0,0.21,0.38,0,0,0,8.99,3.18,1.54,67.4
173,794,794,Jean-Kevin Duverne,FRA,CB,Brest,B,24,1997,37,33,3007,33.4,0.03,0.42,0.09,21.4,0.07,0.33,15.8,0,0,0,40.4,53.6,75.4,784.5,365.1,17.4,20,86.8,16.3,20.7,79.1,6.05,10.9,55.5,0.09,0.81,4.22,0.9,0.51,4.49,53.6,44.4,9.25,0.84,0.06,4.64,1.44,1.8,0,0,0,0,29.8,10.7,13.2,10.6,31.3,2.51,8.41,0.03,40.4,0.09,1.05,2.69,1.62,1.41,1.2,0.09,0.09,0,0.03,0,0.18,0.18,0,0,0,0,0,2.25,1.32,1.41,0.69,0.15,1.08,2.63,40.9,1.56,16.4,5.24,31.9,8.53,5.99,1.92,1.89,0.24,0.03,1.65,2.31,4.55,2.75,0.03,65.1,4.04,22.6,33.3,13.6,1.2,56.2,0.72,1.29,55.8,0.72,0.09,37.2,193.2,117.7,4.1,1.59,0.15,1.11,0.81,39.6,37.2,93.8,0.96,0.03,0,0,1.14,0.99,0.09,1.8,1.32,0,0,0.03,8.14,1.29,1.05,55.1
176,816,816,Aritz Elustondo,ESP,CB,Real Sociedad,A,28,1994,30,22,2105,23.4,0.17,0.68,0.3,43.8,0.25,0.57,12.8,0,0,0,42.4,49.7,85.1,916.1,293.9,12.2,13.8,88.5,21.4,24,89.3,8.25,11,74.8,0.04,0.09,2.48,0.13,0,3.08,49.7,46.5,3.29,1.41,0.04,5.04,1.37,0.13,0,0,0,0,35.9,4.44,9.36,5.04,37.6,3.08,1.88,0.13,42.4,0.04,0.98,0.77,0.56,0.43,0.3,0,0,0.04,0.04,0.04,0.04,0.04,0,0,0,0,0,1.11,0.68,0.85,0.26,0,0.26,0.6,42.9,0.34,7.18,2.65,36.9,3.76,2.78,0.64,1.37,0.6,0,0.77,2.18,3.29,4.36,0,59.4,8.12,30.1,29.3,4.02,0.85,56.3,0.3,0.43,70,0.3,0,35.7,223,119.4,3.25,0.43,0,0.17,0.26,36.7,35.8,97.7,0.34,0.13,0.04,0,0.81,0.94,0.09,0.13,0.68,0,0.04,0,10,3.42,1.24,73.4
177,817,817,Nico Elvedi,SUI,CB,M'Gladbach,B,25,1996,28,28,2430,27,0.04,0.52,0.04,7.1,0.07,1,9,0,0,0,58.8,63.1,93.2,1251.9,318.8,15.9,17.4,91.3,32.4,33.9,95.6,10.1,11,92.6,0,0.11,1.48,0,0,1.89,63.1,59.7,3.33,2.74,0.04,6.37,1.22,0,0,0,0,0,54.3,3.89,4.85,15.4,42.6,2.74,0.26,0.04,58.8,0,0.22,0.7,0.37,0.37,0.22,0.07,0,0.04,0,0.04,0,0,0,0,0,0,0,1.7,0.89,1.15,0.56,0,0.7,1.33,52.8,0.63,7.3,2.81,38.6,4.07,3,0.22,1.93,0.89,0.04,1.04,2.19,3.89,4.07,0,73.3,9.37,41.6,34.7,1.59,0.85,70.2,0.04,0.11,33.3,0.04,0,47.6,232.1,120.6,1.85,0.26,0,0.04,0.15,49.2,48.7,99,0.19,0.11,0.04,0,0.81,0.85,0,0,0.89,0,0,0,10.1,3.37,1.85,64.5
179,829,829,Martin Erlic,CRO,CB,Spezia,B,24,1998,30,30,2576,28.6,0.07,0.52,0.1,20,0.13,0.67,9.4,0,0,0,29.9,36.6,81.6,692.1,192.6,7.2,8.46,85.1,15.7,17.6,89.6,6.57,9.97,66,0,0.17,1.29,0.03,0,0.87,36.6,34.9,1.78,1.61,0.03,4.09,1.22,0.1,0,0,0,0,24.9,3.6,8.15,4.76,27.5,2.94,0.03,0.07,29.9,0.14,1.19,0.59,0.17,0.31,0.21,0,0,0,0.07,0.03,0.07,0,0,0,0,0.03,0.03,1.15,0.77,0.77,0.28,0.1,0.42,0.8,52.2,0.38,10.2,3.43,33.7,6.47,3.32,0.38,2.55,1.57,0.03,0.98,2.2,3.36,4.48,0,47.7,10.2,30.8,17.5,1.57,1.12,46,0.07,0.07,100,0.07,0,23.7,124.3,49.5,0.73,0.07,0,0.35,0.1,26.5,25.8,97.2,0.07,0.17,0,0,1.05,0.73,0,0.1,0.77,0.07,0.07,0,7.87,2.48,1.75,58.7
181,837,837,Maxime Esteve,FRA,CB,Montpellier,B,20,2002,24,20,1857,20.6,0,0.24,0.05,20,0,0,7,0,0,0,34,39.5,86,724.5,171.9,9.08,10.1,89.9,18.5,20.3,91.4,5.83,8.06,72.3,0,0.05,1.26,0.05,0,1.41,39.5,37.8,1.75,1.26,0,3.54,1.5,0,0,0,0,0,31.8,2.96,4.76,25.1,10.7,2.57,0.1,0.1,34,0,0.53,1.12,0.73,0.24,0.15,0.05,0,0.05,0,0,0,0,0,0,0,0,0,1.65,0.92,1.21,0.39,0.05,0.68,1.31,51.9,0.63,11.9,4.03,33.7,6.99,4.71,0.24,1.7,1.17,0.05,0.53,2.14,3.79,3.88,0.05,48.7,8.3,28.9,21.7,1.07,0.53,47,0.1,0.15,66.7,0.1,0,28.5,181.8,97.1,1.5,0.1,0,0.19,0.24,29.7,29.4,99,0.05,0.1,0,0,0.44,0.39,0,0,0.92,0,0,0,7.14,1.75,1.46,54.5
183,840,840,Jonny Evans,NIR,CB,Leicester City,B,34,1988,18,16,1348,15,0.07,0.2,0.13,66.7,0.33,0.5,5.7,0,0,0,54.1,65.1,83.2,1192.1,377.6,12.7,14.5,88,32.6,35.4,92.1,8.53,14.7,58.2,0.07,0.2,3.93,0.27,0.07,2.93,65.1,62.4,2.67,2.13,0.07,8.6,0.93,0.2,0,0,0,0,46.1,4.8,14.1,22.5,36.2,3.33,0.53,0.13,54.1,0.13,1.47,1.33,0.47,0.53,0.47,0.07,0,0,0,0,0.13,0.07,0.07,0,0,0,0,1.8,1.2,1.2,0.47,0.13,1.07,1.87,57.1,0.8,8.2,3.27,39.8,5.13,2.73,0.33,1.47,0.87,0,0.6,2.07,3.87,4.07,0,73.7,12.1,42.1,32.5,2.67,0.73,71.3,0.07,0.13,50,0.07,0,45.6,208.9,104.3,2.27,0.27,0,0.2,0.07,49.3,48.1,97.6,0.13,0.2,0,0,1.07,0.8,0,0.2,1.2,0,0,0,12,3.53,1.2,74.6
185,847,847,Wout Faes,BEL,CB,Reims,B,24,1998,37,37,3330,37,0.11,0.62,0.24,39.1,0.17,0.44,13,0,0,0,33.9,38.7,87.7,779.2,239.7,8,8.7,91.9,18.8,19.8,95.3,6.81,9.49,71.8,0,0.08,1.84,0.05,0,1.59,38.7,37.3,1.43,1.24,0,3.43,1.19,0.05,0,0,0,0,29.5,2.97,6.27,6.24,29.9,1.92,0.05,0.19,33.9,0.14,0.84,0.65,0.54,0.49,0.43,0,0,0.03,0.03,0,0,0,0,0,0,0,0,1.16,0.73,0.81,0.32,0.03,0.57,0.97,58.3,0.41,5.54,2.11,38,3.49,1.86,0.19,1.59,1.05,0,0.54,2.19,3.35,4.89,0.03,49.3,10.3,32.4,19,1.78,0.89,48,0.19,0.24,77.8,0.19,0,29.2,175.4,108.5,1.41,0.19,0.03,0.38,0.14,31.1,30.5,98.2,0.24,0.05,0,0,0.62,0.7,0,0.05,0.73,0,0.05,0,6.27,1.35,1.03,56.8
